id_item,id_requerido
86,1136
138,9743
227,5916
598,7144
847,5644
881,3016
2047,9418
2090,5290
2282,415
2341,8547
2562,8285
2705,2081
3014,3795
3351,9061
3424,3584
3535,2553
4217,4028
4398,8076
4564,5792
4650,5551
4851,5108
4886,3604
5204,5178
5280,2949
5363,7592
5424,5433
5568,310
5657,8267
5981,3320
6100,1701
6108,206
6191,5902
6661,3031
6822,443
7034,5309
7219,5897
7317,8949
7371,9723
7495,3115
7538,5078
7543,5386
7574,7338
7597,1070
8054,2295
8058,851
8210,3498
8230,6311
8783,4589
9700,476
9890,1020
